factor_id,day,value,scope_id,unit
external.fx_rate_usd_cny,0,7.1,global,cny_per_usd
external.fx_rate_usd_cny,1,7.101,global,cny_per_usd
external.fx_rate_usd_cny,2,7.102,global,cny_per_usd
external.fx_rate_usd_cny,3,7.103,global,cny_per_usd
external.fx_rate_usd_cny,4,7.104,global,cny_per_usd
external.fx_rate_usd_cny,5,7.105,global,cny_per_usd
external.fx_rate_usd_cny,6,7.106,global,cny_per_usd
external.fx_rate_usd_cny,7,7.107,global,cny_per_usd
external.fx_rate_usd_cny,8,7.108,global,cny_per_usd
external.fx_rate_usd_cny,9,7.109,global,cny_per_usd
external.fx_rate_usd_cny,10,7.11,global,cny_per_usd
external.fx_rate_usd_cny,11,7.111,global,cny_per_usd
external.fx_rate_usd_cny,12,7.112,global,cny_per_usd
external.fx_rate_usd_cny,13,7.113,global,cny_per_usd
external.fx_rate_usd_cny,14,7.114,global,cny_per_usd
external.fx_rate_usd_cny,15,7.115,global,cny_per_usd
external.fx_rate_usd_cny,16,7.116,global,cny_per_usd
external.fx_rate_usd_cny,17,7.117,global,cny_per_usd
external.fx_rate_usd_cny,18,7.118,global,cny_per_usd
external.fx_rate_usd_cny,19,7.119,global,cny_per_usd
external.fx_rate_usd_cny,20,7.12,global,cny_per_usd
external.fx_rate_usd_cny,21,7.121,global,cny_per_usd
external.fx_rate_usd_cny,22,7.122,global,cny_per_usd
external.fx_rate_usd_cny,23,7.123,global,cny_per_usd
external.fx_rate_usd_cny,24,7.124,global,cny_per_usd
external.fx_rate_usd_cny,25,7.125,global,cny_per_usd
external.fx_rate_usd_cny,26,7.126,global,cny_per_usd
external.fx_rate_usd_cny,27,7.142,global,cny_per_usd
external.fx_rate_usd_cny,28,7.158,global,cny_per_usd
external.fx_rate_usd_cny,29,7.174,global,cny_per_usd
external.fx_rate_usd_cny,30,7.19,global,cny_per_usd
external.fx_rate_usd_cny,31,7.206,global,cny_per_usd
external.fx_rate_usd_cny,32,7.222,global,cny_per_usd
external.fx_rate_usd_cny,33,7.238,global,cny_per_usd
external.fx_rate_usd_cny,34,7.254,global,cny_per_usd
external.fx_rate_usd_cny,35,7.27,global,cny_per_usd
external.fx_rate_usd_cny,36,7.286,global,cny_per_usd
external.fx_rate_usd_cny,37,7.302,global,cny_per_usd
external.fx_rate_usd_cny,38,7.318,global,cny_per_usd
external.fx_rate_usd_cny,39,7.334,global,cny_per_usd
external.fx_rate_usd_cny,40,7.35,global,cny_per_usd
external.fx_rate_usd_cny,41,7.366,global,cny_per_usd
external.fx_rate_usd_cny,42,7.382,global,cny_per_usd
external.fx_rate_usd_cny,43,7.398,global,cny_per_usd
external.fx_rate_usd_cny,44,7.414,global,cny_per_usd
external.fx_rate_usd_cny,45,7.43,global,cny_per_usd
external.fx_rate_usd_cny,46,7.446,global,cny_per_usd
external.fx_rate_usd_cny,47,7.462,global,cny_per_usd
external.fx_rate_usd_cny,48,7.478,global,cny_per_usd
external.fx_rate_usd_cny,49,7.494,global,cny_per_usd
external.fx_rate_usd_cny,50,7.51,global,cny_per_usd
external.fx_rate_usd_cny,51,7.526,global,cny_per_usd
external.fx_rate_usd_cny,52,7.542,global,cny_per_usd
external.fx_rate_usd_cny,53,7.558,global,cny_per_usd
external.fx_rate_usd_cny,54,7.574,global,cny_per_usd
external.fx_rate_usd_cny,55,7.59,global,cny_per_usd
external.fx_rate_usd_cny,56,7.606,global,cny_per_usd
external.fx_rate_usd_cny,57,7.622,global,cny_per_usd
external.fx_rate_usd_cny,58,7.638,global,cny_per_usd
external.fx_rate_usd_cny,59,7.654,global,cny_per_usd
internal.page_latency_p95,0,180.0,east-paid-8.4,ms
internal.page_latency_p95,1,183.0,east-paid-8.4,ms
internal.page_latency_p95,2,186.0,east-paid-8.4,ms
internal.page_latency_p95,3,189.0,east-paid-8.4,ms
internal.page_latency_p95,4,192.0,east-paid-8.4,ms
internal.page_latency_p95,5,195.0,east-paid-8.4,ms
internal.page_latency_p95,6,198.0,east-paid-8.4,ms
internal.page_latency_p95,7,180.0,east-paid-8.4,ms
internal.page_latency_p95,8,183.0,east-paid-8.4,ms
internal.page_latency_p95,9,186.0,east-paid-8.4,ms
internal.page_latency_p95,10,189.0,east-paid-8.4,ms
internal.page_latency_p95,11,192.0,east-paid-8.4,ms
internal.page_latency_p95,12,195.0,east-paid-8.4,ms
internal.page_latency_p95,13,198.0,east-paid-8.4,ms
internal.page_latency_p95,14,180.0,east-paid-8.4,ms
internal.page_latency_p95,15,183.0,east-paid-8.4,ms
internal.page_latency_p95,16,186.0,east-paid-8.4,ms
internal.page_latency_p95,17,189.0,east-paid-8.4,ms
internal.page_latency_p95,18,192.0,east-paid-8.4,ms
internal.page_latency_p95,19,195.0,east-paid-8.4,ms
internal.page_latency_p95,20,198.0,east-paid-8.4,ms
internal.page_latency_p95,21,180.0,east-paid-8.4,ms
internal.page_latency_p95,22,183.0,east-paid-8.4,ms
internal.page_latency_p95,23,186.0,east-paid-8.4,ms
internal.page_latency_p95,24,189.0,east-paid-8.4,ms
internal.page_latency_p95,25,192.0,east-paid-8.4,ms
internal.page_latency_p95,26,195.0,east-paid-8.4,ms
internal.page_latency_p95,27,198.0,east-paid-8.4,ms
internal.page_latency_p95,28,180.0,east-paid-8.4,ms
internal.page_latency_p95,29,183.0,east-paid-8.4,ms
internal.page_latency_p95,30,186.0,east-paid-8.4,ms
internal.page_latency_p95,31,189.0,east-paid-8.4,ms
internal.page_latency_p95,32,192.0,east-paid-8.4,ms
internal.page_latency_p95,33,195.0,east-paid-8.4,ms
internal.page_latency_p95,34,198.0,east-paid-8.4,ms
internal.page_latency_p95,35,180.0,east-paid-8.4,ms
internal.page_latency_p95,36,183.0,east-paid-8.4,ms
internal.page_latency_p95,37,186.0,east-paid-8.4,ms
internal.page_latency_p95,38,189.0,east-paid-8.4,ms
internal.page_latency_p95,39,194.5,east-paid-8.4,ms
internal.page_latency_p95,40,200.0,east-paid-8.4,ms
internal.page_latency_p95,41,205.5,east-paid-8.4,ms
internal.page_latency_p95,42,190.0,east-paid-8.4,ms
internal.page_latency_p95,43,195.5,east-paid-8.4,ms
internal.page_latency_p95,44,201.0,east-paid-8.4,ms
internal.page_latency_p95,45,206.5,east-paid-8.4,ms
internal.page_latency_p95,46,212.0,east-paid-8.4,ms
internal.page_latency_p95,47,217.5,east-paid-8.4,ms
internal.page_latency_p95,48,223.0,east-paid-8.4,ms
internal.page_latency_p95,49,207.5,east-paid-8.4,ms
internal.page_latency_p95,50,213.0,east-paid-8.4,ms
internal.page_latency_p95,51,218.5,east-paid-8.4,ms
internal.page_latency_p95,52,224.0,east-paid-8.4,ms
internal.page_latency_p95,53,229.5,east-paid-8.4,ms
internal.page_latency_p95,54,235.0,east-paid-8.4,ms
internal.page_latency_p95,55,240.5,east-paid-8.4,ms
internal.page_latency_p95,56,225.0,east-paid-8.4,ms
internal.page_latency_p95,57,230.5,east-paid-8.4,ms
internal.page_latency_p95,58,236.0,east-paid-8.4,ms
internal.page_latency_p95,59,241.5,east-paid-8.4,ms
external.competitor_pressure_index,0,20.0,paid,pressure_index
external.competitor_pressure_index,1,20.05,paid,pressure_index
external.competitor_pressure_index,2,20.1,paid,pressure_index
external.competitor_pressure_index,3,20.15,paid,pressure_index
external.competitor_pressure_index,4,20.2,paid,pressure_index
external.competitor_pressure_index,5,20.25,paid,pressure_index
external.competitor_pressure_index,6,20.3,paid,pressure_index
external.competitor_pressure_index,7,20.35,paid,pressure_index
external.competitor_pressure_index,8,20.4,paid,pressure_index
external.competitor_pressure_index,9,20.45,paid,pressure_index
external.competitor_pressure_index,10,20.5,paid,pressure_index
external.competitor_pressure_index,11,20.55,paid,pressure_index
external.competitor_pressure_index,12,20.6,paid,pressure_index
external.competitor_pressure_index,13,20.65,paid,pressure_index
external.competitor_pressure_index,14,20.7,paid,pressure_index
external.competitor_pressure_index,15,20.75,paid,pressure_index
external.competitor_pressure_index,16,20.8,paid,pressure_index
external.competitor_pressure_index,17,20.85,paid,pressure_index
external.competitor_pressure_index,18,20.9,paid,pressure_index
external.competitor_pressure_index,19,20.95,paid,pressure_index
external.competitor_pressure_index,20,21.0,paid,pressure_index
external.competitor_pressure_index,21,21.05,paid,pressure_index
external.competitor_pressure_index,22,21.1,paid,pressure_index
external.competitor_pressure_index,23,21.15,paid,pressure_index
external.competitor_pressure_index,24,21.2,paid,pressure_index
external.competitor_pressure_index,25,21.25,paid,pressure_index
external.competitor_pressure_index,26,21.3,paid,pressure_index
external.competitor_pressure_index,27,21.35,paid,pressure_index
external.competitor_pressure_index,28,21.4,paid,pressure_index
external.competitor_pressure_index,29,21.45,paid,pressure_index
external.competitor_pressure_index,30,21.5,paid,pressure_index
external.competitor_pressure_index,31,21.55,paid,pressure_index
external.competitor_pressure_index,32,21.6,paid,pressure_index
external.competitor_pressure_index,33,21.65,paid,pressure_index
external.competitor_pressure_index,34,21.7,paid,pressure_index
external.competitor_pressure_index,35,21.75,paid,pressure_index
external.competitor_pressure_index,36,21.8,paid,pressure_index
external.competitor_pressure_index,37,21.85,paid,pressure_index
external.competitor_pressure_index,38,21.9,paid,pressure_index
external.competitor_pressure_index,39,21.95,paid,pressure_index
external.competitor_pressure_index,40,22.0,paid,pressure_index
external.competitor_pressure_index,41,22.05,paid,pressure_index
external.competitor_pressure_index,42,22.1,paid,pressure_index
external.competitor_pressure_index,43,22.15,paid,pressure_index
external.competitor_pressure_index,44,22.2,paid,pressure_index
external.competitor_pressure_index,45,22.25,paid,pressure_index
external.competitor_pressure_index,46,22.3,paid,pressure_index
external.competitor_pressure_index,47,22.35,paid,pressure_index
external.competitor_pressure_index,48,23.2,paid,pressure_index
external.competitor_pressure_index,49,24.489297,paid,pressure_index
external.competitor_pressure_index,50,26.025362,paid,pressure_index
external.competitor_pressure_index,51,27.748415,paid,pressure_index
external.competitor_pressure_index,52,29.62586,paid,pressure_index
external.competitor_pressure_index,53,31.636574,paid,pressure_index
external.competitor_pressure_index,54,33.765533,paid,pressure_index
external.competitor_pressure_index,55,36.001391,paid,pressure_index
external.competitor_pressure_index,56,38.335219,paid,pressure_index
external.competitor_pressure_index,57,40.759769,paid,pressure_index
external.competitor_pressure_index,58,43.269019,paid,pressure_index
external.competitor_pressure_index,59,45.857868,paid,pressure_index
internal.checkout_error_rate,0,0.008,east-paid-8.4,rate
internal.checkout_error_rate,1,0.0082,east-paid-8.4,rate
internal.checkout_error_rate,2,0.0084,east-paid-8.4,rate
internal.checkout_error_rate,3,0.0086,east-paid-8.4,rate
internal.checkout_error_rate,4,0.0088,east-paid-8.4,rate
internal.checkout_error_rate,5,0.008,east-paid-8.4,rate
internal.checkout_error_rate,6,0.0082,east-paid-8.4,rate
internal.checkout_error_rate,7,0.0084,east-paid-8.4,rate
internal.checkout_error_rate,8,0.0086,east-paid-8.4,rate
internal.checkout_error_rate,9,0.0088,east-paid-8.4,rate
internal.checkout_error_rate,10,0.008,east-paid-8.4,rate
internal.checkout_error_rate,11,0.0082,east-paid-8.4,rate
internal.checkout_error_rate,12,0.0084,east-paid-8.4,rate
internal.checkout_error_rate,13,0.0086,east-paid-8.4,rate
internal.checkout_error_rate,14,0.0088,east-paid-8.4,rate
internal.checkout_error_rate,15,0.008,east-paid-8.4,rate
internal.checkout_error_rate,16,0.0082,east-paid-8.4,rate
internal.checkout_error_rate,17,0.0084,east-paid-8.4,rate
internal.checkout_error_rate,18,0.0086,east-paid-8.4,rate
internal.checkout_error_rate,19,0.0088,east-paid-8.4,rate
internal.checkout_error_rate,20,0.008,east-paid-8.4,rate
internal.checkout_error_rate,21,0.0082,east-paid-8.4,rate
internal.checkout_error_rate,22,0.0084,east-paid-8.4,rate
internal.checkout_error_rate,23,0.0086,east-paid-8.4,rate
internal.checkout_error_rate,24,0.0088,east-paid-8.4,rate
internal.checkout_error_rate,25,0.008,east-paid-8.4,rate
internal.checkout_error_rate,26,0.0082,east-paid-8.4,rate
internal.checkout_error_rate,27,0.0084,east-paid-8.4,rate
internal.checkout_error_rate,28,0.0086,east-paid-8.4,rate
internal.checkout_error_rate,29,0.0088,east-paid-8.4,rate
internal.checkout_error_rate,30,0.008,east-paid-8.4,rate
internal.checkout_error_rate,31,0.0082,east-paid-8.4,rate
internal.checkout_error_rate,32,0.0084,east-paid-8.4,rate
internal.checkout_error_rate,33,0.0086,east-paid-8.4,rate
internal.checkout_error_rate,34,0.0088,east-paid-8.4,rate
internal.checkout_error_rate,35,0.008,east-paid-8.4,rate
internal.checkout_error_rate,36,0.0082,east-paid-8.4,rate
internal.checkout_error_rate,37,0.0084,east-paid-8.4,rate
internal.checkout_error_rate,38,0.0086,east-paid-8.4,rate
internal.checkout_error_rate,39,0.0088,east-paid-8.4,rate
internal.checkout_error_rate,40,0.026,east-paid-8.4,rate
internal.checkout_error_rate,41,0.0262,east-paid-8.4,rate
internal.checkout_error_rate,42,0.0264,east-paid-8.4,rate
internal.checkout_error_rate,43,0.0266,east-paid-8.4,rate
internal.checkout_error_rate,44,0.0268,east-paid-8.4,rate
internal.checkout_error_rate,45,0.026,east-paid-8.4,rate
internal.checkout_error_rate,46,0.0262,east-paid-8.4,rate
internal.checkout_error_rate,47,0.0264,east-paid-8.4,rate
internal.checkout_error_rate,48,0.0266,east-paid-8.4,rate
internal.checkout_error_rate,49,0.0268,east-paid-8.4,rate
internal.checkout_error_rate,50,0.026,east-paid-8.4,rate
internal.checkout_error_rate,51,0.0262,east-paid-8.4,rate
internal.checkout_error_rate,52,0.0264,east-paid-8.4,rate
internal.checkout_error_rate,53,0.0266,east-paid-8.4,rate
internal.checkout_error_rate,54,0.0268,east-paid-8.4,rate
internal.checkout_error_rate,55,0.026,east-paid-8.4,rate
internal.checkout_error_rate,56,0.0262,east-paid-8.4,rate
internal.checkout_error_rate,57,0.0264,east-paid-8.4,rate
internal.checkout_error_rate,58,0.0266,east-paid-8.4,rate
internal.checkout_error_rate,59,0.0268,east-paid-8.4,rate
