row_id,day,region,channel,version,control_clicks,control_impressions,control_rate,treatment_clicks,treatment_impressions,treatment_rate,gap,missing_rate,late_arrival_rate
scope-east-paid-v83-day000,0,east,paid,8.3,42,1052,0.039924,48,1052,0.045627,0.005703,0.0,0.004
scope-east-paid-v84-day000,0,east,paid,8.4,37,928,0.039871,43,928,0.046336,0.006466,0.0,0.004
scope-east-organic-v83-day000,0,east,organic,8.3,41,931,0.044039,47,931,0.050483,0.006445,0.0,0.004
scope-east-organic-v84-day000,0,east,organic,8.4,43,970,0.04433,48,970,0.049485,0.005155,0.0,0.004
scope-west-paid-v83-day000,0,west,paid,8.3,41,1030,0.039806,47,1030,0.045631,0.005825,0.0,0.004
scope-west-paid-v84-day000,0,west,paid,8.4,42,1050,0.04,48,1050,0.045714,0.005714,0.0,0.004
scope-west-organic-v83-day000,0,west,organic,8.3,40,908,0.044053,45,908,0.049559,0.005507,0.0,0.004
scope-west-organic-v84-day000,0,west,organic,8.4,44,1003,0.043868,50,1003,0.04985,0.005982,0.0,0.004
scope-east-paid-v83-day001,1,east,paid,8.3,39,979,0.039837,45,979,0.045965,0.006129,0.0,0.006
scope-east-paid-v84-day001,1,east,paid,8.4,37,932,0.0397,43,932,0.046137,0.006438,0.0,0.006
scope-east-organic-v83-day001,1,east,organic,8.3,41,923,0.04442,46,923,0.049837,0.005417,0.0,0.006
scope-east-organic-v84-day001,1,east,organic,8.4,41,921,0.044517,46,921,0.049946,0.005429,0.0,0.006
scope-west-paid-v83-day001,1,west,paid,8.3,42,1062,0.039548,49,1062,0.046139,0.006591,0.0,0.006
scope-west-paid-v84-day001,1,west,paid,8.4,42,1057,0.039735,49,1057,0.046358,0.006623,0.0,0.006
scope-west-organic-v83-day001,1,west,organic,8.3,43,972,0.044239,49,972,0.050412,0.006173,0.0,0.006
scope-west-organic-v84-day001,1,west,organic,8.4,44,991,0.0444,50,991,0.050454,0.006054,0.0,0.006
scope-east-paid-v83-day002,2,east,paid,8.3,36,912,0.039474,42,912,0.046053,0.006579,0.0,0.008
scope-east-paid-v84-day002,2,east,paid,8.4,40,1011,0.039565,47,1011,0.046489,0.006924,0.0,0.008
scope-east-organic-v83-day002,2,east,organic,8.3,44,1011,0.043521,51,1011,0.050445,0.006924,0.0,0.008
scope-east-organic-v84-day002,2,east,organic,8.4,44,994,0.044266,50,994,0.050302,0.006036,0.0,0.008
scope-west-paid-v83-day002,2,west,paid,8.3,36,908,0.039648,42,908,0.046256,0.006608,0.0,0.008
scope-west-paid-v84-day002,2,west,paid,8.4,37,922,0.04013,42,922,0.045553,0.005423,0.0,0.008
scope-west-organic-v83-day002,2,west,organic,8.3,44,994,0.044266,50,994,0.050302,0.006036,0.0,0.008
scope-west-organic-v84-day002,2,west,organic,8.4,45,1018,0.044204,51,1018,0.050098,0.005894,0.0,0.008
scope-east-paid-v83-day003,3,east,paid,8.3,42,1049,0.040038,48,1049,0.045758,0.00572,0.0,0.01
scope-east-paid-v84-day003,3,east,paid,8.4,36,912,0.039474,42,912,0.046053,0.006579,0.0,0.01
scope-east-organic-v83-day003,3,east,organic,8.3,43,968,0.044421,48,968,0.049587,0.005165,0.0,0.01
scope-east-organic-v84-day003,3,east,organic,8.4,41,921,0.044517,46,921,0.049946,0.005429,0.0,0.01
scope-west-paid-v83-day003,3,west,paid,8.3,37,918,0.040305,42,918,0.045752,0.005447,0.0,0.01
scope-west-paid-v84-day003,3,west,paid,8.4,40,997,0.04012,46,997,0.046138,0.006018,0.0,0.01
scope-west-organic-v83-day003,3,west,organic,8.3,41,934,0.043897,47,934,0.050321,0.006424,0.0,0.01
scope-west-organic-v84-day003,3,west,organic,8.4,47,1067,0.044049,53,1067,0.049672,0.005623,0.0,0.01
scope-east-paid-v83-day004,4,east,paid,8.3,38,954,0.039832,44,954,0.046122,0.006289,0.0,0.004
scope-east-paid-v84-day004,4,east,paid,8.4,37,937,0.039488,43,937,0.045891,0.006403,0.0,0.004
scope-east-organic-v83-day004,4,east,organic,8.3,42,961,0.043704,48,961,0.049948,0.006243,0.0,0.004
scope-east-organic-v84-day004,4,east,organic,8.4,43,970,0.04433,48,970,0.049485,0.005155,0.0,0.004
scope-west-paid-v83-day004,4,west,paid,8.3,38,952,0.039916,44,952,0.046218,0.006303,0.0,0.004
scope-west-paid-v84-day004,4,west,paid,8.4,41,1033,0.03969,48,1033,0.046467,0.006776,0.0,0.004
scope-west-organic-v83-day004,4,west,organic,8.3,41,927,0.044229,46,927,0.049622,0.005394,0.0,0.004
scope-west-organic-v84-day004,4,west,organic,8.4,41,922,0.044469,46,922,0.049892,0.005423,0.0,0.004
scope-east-paid-v83-day005,5,east,paid,8.3,37,928,0.039871,43,928,0.046336,0.006466,0.0,0.006
scope-east-paid-v84-day005,5,east,paid,8.4,38,946,0.040169,44,946,0.046512,0.006342,0.0,0.006
scope-east-organic-v83-day005,5,east,organic,8.3,44,998,0.044088,50,998,0.0501,0.006012,0.0,0.006
scope-east-organic-v84-day005,5,east,organic,8.4,43,988,0.043522,49,988,0.049595,0.006073,0.0,0.006
scope-west-paid-v83-day005,5,west,paid,8.3,37,918,0.040305,42,918,0.045752,0.005447,0.0,0.006
scope-west-paid-v84-day005,5,west,paid,8.4,38,962,0.039501,44,962,0.045738,0.006237,0.0,0.006
scope-west-organic-v83-day005,5,west,organic,8.3,41,928,0.044181,46,928,0.049569,0.005388,0.0,0.006
scope-west-organic-v84-day005,5,west,organic,8.4,46,1056,0.043561,53,1056,0.050189,0.006629,0.0,0.006
scope-east-paid-v83-day006,6,east,paid,8.3,37,924,0.040043,43,924,0.046537,0.006494,0.0,0.008
scope-east-paid-v84-day006,6,east,paid,8.4,42,1040,0.040385,48,1040,0.046154,0.005769,0.0,0.008
scope-east-organic-v83-day006,6,east,organic,8.3,45,1033,0.043562,52,1033,0.050339,0.006776,0.0,0.008
scope-east-organic-v84-day006,6,east,organic,8.4,45,1034,0.04352,52,1034,0.05029,0.00677,0.0,0.008
scope-west-paid-v83-day006,6,west,paid,8.3,42,1056,0.039773,49,1056,0.046402,0.006629,0.0,0.008
scope-west-paid-v84-day006,6,west,paid,8.4,38,946,0.040169,44,946,0.046512,0.006342,0.0,0.008
scope-west-organic-v83-day006,6,west,organic,8.3,44,1004,0.043825,50,1004,0.049801,0.005976,0.0,0.008
scope-west-organic-v84-day006,6,west,organic,8.4,45,1025,0.043902,51,1025,0.049756,0.005854,0.0,0.008
scope-east-paid-v83-day007,7,east,paid,8.3,36,906,0.039735,42,906,0.046358,0.006623,0.0,0.01
scope-east-paid-v84-day007,7,east,paid,8.4,37,915,0.040437,42,915,0.045902,0.005464,0.0,0.01
scope-east-organic-v83-day007,7,east,organic,8.3,43,985,0.043655,49,985,0.049746,0.006091,0.0,0.01
scope-east-organic-v84-day007,7,east,organic,8.4,47,1062,0.044256,53,1062,0.049906,0.00565,0.0,0.01
scope-west-paid-v83-day007,7,west,paid,8.3,40,1001,0.03996,46,1001,0.045954,0.005994,0.0,0.01
scope-west-paid-v84-day007,7,west,paid,8.4,43,1071,0.040149,49,1071,0.045752,0.005602,0.0,0.01
scope-west-organic-v83-day007,7,west,organic,8.3,43,974,0.044148,49,974,0.050308,0.00616,0.0,0.01
scope-west-organic-v84-day007,7,west,organic,8.4,44,991,0.0444,50,991,0.050454,0.006054,0.0,0.01
scope-east-paid-v83-day008,8,east,paid,8.3,36,900,0.04,41,900,0.045556,0.005556,0.0,0.004
scope-east-paid-v84-day008,8,east,paid,8.4,41,1017,0.040315,47,1017,0.046214,0.0059,0.0,0.004
scope-east-organic-v83-day008,8,east,organic,8.3,40,910,0.043956,45,910,0.049451,0.005495,0.0,0.004
scope-east-organic-v84-day008,8,east,organic,8.4,46,1049,0.043851,52,1049,0.049571,0.00572,0.0,0.004
scope-west-paid-v83-day008,8,west,paid,8.3,42,1042,0.040307,48,1042,0.046065,0.005758,0.0,0.004
scope-west-paid-v84-day008,8,west,paid,8.4,41,1030,0.039806,47,1030,0.045631,0.005825,0.0,0.004
scope-west-organic-v83-day008,8,west,organic,8.3,42,963,0.043614,48,963,0.049844,0.006231,0.0,0.004
scope-west-organic-v84-day008,8,west,organic,8.4,41,934,0.043897,47,934,0.050321,0.006424,0.0,0.004
scope-east-paid-v83-day009,9,east,paid,8.3,37,927,0.039914,43,927,0.046386,0.006472,0.0,0.006
scope-east-paid-v84-day009,9,east,paid,8.4,40,998,0.04008,46,998,0.046092,0.006012,0.0,0.006
scope-east-organic-v83-day009,9,east,organic,8.3,45,1026,0.04386,51,1026,0.049708,0.005848,0.0,0.006
scope-east-organic-v84-day009,9,east,organic,8.4,45,1021,0.044074,51,1021,0.049951,0.005877,0.0,0.006
scope-west-paid-v83-day009,9,west,paid,8.3,41,1017,0.040315,47,1017,0.046214,0.0059,0.0,0.006
scope-west-paid-v84-day009,9,west,paid,8.4,36,912,0.039474,42,912,0.046053,0.006579,0.0,0.006
scope-west-organic-v83-day009,9,west,organic,8.3,43,971,0.044284,49,971,0.050463,0.006179,0.0,0.006
scope-west-organic-v84-day009,9,west,organic,8.4,46,1044,0.044061,52,1044,0.049808,0.005747,0.0,0.006
scope-east-paid-v83-day010,10,east,paid,8.3,40,997,0.04012,46,997,0.046138,0.006018,0.0,0.008
scope-east-paid-v84-day010,10,east,paid,8.4,40,996,0.040161,46,996,0.046185,0.006024,0.0,0.008
scope-east-organic-v83-day010,10,east,organic,8.3,43,976,0.044057,49,976,0.050205,0.006148,0.0,0.008
scope-east-organic-v84-day010,10,east,organic,8.4,45,1021,0.044074,51,1021,0.049951,0.005877,0.0,0.008
scope-west-paid-v83-day010,10,west,paid,8.3,40,1002,0.03992,46,1002,0.045908,0.005988,0.0,0.008
scope-west-paid-v84-day010,10,west,paid,8.4,39,968,0.040289,45,968,0.046488,0.006198,0.0,0.008
scope-west-organic-v83-day010,10,west,organic,8.3,46,1038,0.044316,52,1038,0.050096,0.00578,0.0,0.008
scope-west-organic-v84-day010,10,west,organic,8.4,44,1005,0.043781,50,1005,0.049751,0.00597,0.0,0.008
scope-east-paid-v83-day011,11,east,paid,8.3,41,1015,0.040394,47,1015,0.046305,0.005911,0.0,0.01
scope-east-paid-v84-day011,11,east,paid,8.4,41,1014,0.040434,47,1014,0.046351,0.005917,0.0,0.01
scope-east-organic-v83-day011,11,east,organic,8.3,43,972,0.044239,49,972,0.050412,0.006173,0.0,0.01
scope-east-organic-v84-day011,11,east,organic,8.4,45,1029,0.043732,51,1029,0.049563,0.005831,0.0,0.01
scope-west-paid-v83-day011,11,west,paid,8.3,40,1004,0.039841,46,1004,0.045817,0.005976,0.0,0.01
scope-west-paid-v84-day011,11,west,paid,8.4,42,1055,0.03981,49,1055,0.046445,0.006635,0.0,0.01
scope-west-organic-v83-day011,11,west,organic,8.3,47,1066,0.04409,53,1066,0.049719,0.005629,0.0,0.01
scope-west-organic-v84-day011,11,west,organic,8.4,41,942,0.043524,47,942,0.049894,0.006369,0.0,0.01
scope-east-paid-v83-day012,12,east,paid,8.3,40,993,0.040282,46,993,0.046324,0.006042,0.0,0.004
scope-east-paid-v84-day012,12,east,paid,8.4,39,984,0.039634,45,984,0.045732,0.006098,0.0,0.004
scope-east-organic-v83-day012,12,east,organic,8.3,44,993,0.04431,50,993,0.050352,0.006042,0.0,0.004
scope-east-organic-v84-day012,12,east,organic,8.4,45,1012,0.044466,51,1012,0.050395,0.005929,0.0,0.004
scope-west-paid-v83-day012,12,west,paid,8.3,36,912,0.039474,42,912,0.046053,0.006579,0.0,0.004
scope-west-paid-v84-day012,12,west,paid,8.4,37,920,0.040217,42,920,0.045652,0.005435,0.0,0.004
scope-west-organic-v83-day012,12,west,organic,8.3,42,950,0.044211,47,950,0.049474,0.005263,0.0,0.004
scope-west-organic-v84-day012,12,west,organic,8.4,44,993,0.04431,50,993,0.050352,0.006042,0.0,0.004
scope-east-paid-v83-day013,13,east,paid,8.3,40,1010,0.039604,46,1010,0.045545,0.005941,0.0,0.006
scope-east-paid-v84-day013,13,east,paid,8.4,37,923,0.040087,42,923,0.045504,0.005417,0.0,0.006
scope-east-organic-v83-day013,13,east,organic,8.3,44,997,0.044132,50,997,0.05015,0.006018,0.0,0.006
scope-east-organic-v84-day013,13,east,organic,8.4,44,1007,0.043694,50,1007,0.049652,0.005958,0.0,0.006
scope-west-paid-v83-day013,13,west,paid,8.3,36,912,0.039474,42,912,0.046053,0.006579,0.0,0.006
scope-west-paid-v84-day013,13,west,paid,8.4,36,906,0.039735,42,906,0.046358,0.006623,0.0,0.006
scope-west-organic-v83-day013,13,west,organic,8.3,43,980,0.043878,49,980,0.05,0.006122,0.0,0.006
scope-west-organic-v84-day013,13,west,organic,8.4,44,994,0.044266,50,994,0.050302,0.006036,0.0,0.006
scope-east-paid-v83-day014,14,east,paid,8.3,40,1008,0.039683,46,1008,0.045635,0.005952,0.0,0.008
scope-east-paid-v84-day014,14,east,paid,8.4,39,978,0.039877,45,978,0.046012,0.006135,0.0,0.008
scope-east-organic-v83-day014,14,east,organic,8.3,45,1012,0.044466,51,1012,0.050395,0.005929,0.0,0.008
scope-east-organic-v84-day014,14,east,organic,8.4,46,1045,0.044019,52,1045,0.049761,0.005742,0.0,0.008
scope-west-paid-v83-day014,14,west,paid,8.3,38,962,0.039501,44,962,0.045738,0.006237,0.0,0.008
scope-west-paid-v84-day014,14,west,paid,8.4,43,1077,0.039926,50,1077,0.046425,0.0065,0.0,0.008
scope-west-organic-v83-day014,14,west,organic,8.3,46,1050,0.04381,52,1050,0.049524,0.005714,0.0,0.008
scope-west-organic-v84-day014,14,west,organic,8.4,45,1017,0.044248,51,1017,0.050147,0.0059,0.0,0.008
scope-east-paid-v83-day015,15,east,paid,8.3,41,1023,0.040078,47,1023,0.045943,0.005865,0.0,0.01
scope-east-paid-v84-day015,15,east,paid,8.4,36,909,0.039604,42,909,0.046205,0.006601,0.0,0.01
scope-east-organic-v83-day015,15,east,organic,8.3,43,970,0.04433,48,970,0.049485,0.005155,0.0,0.01
scope-east-organic-v84-day015,15,east,organic,8.4,44,998,0.044088,50,998,0.0501,0.006012,0.0,0.01
scope-west-paid-v83-day015,15,west,paid,8.3,41,1013,0.040474,47,1013,0.046397,0.005923,0.0,0.01
scope-west-paid-v84-day015,15,west,paid,8.4,42,1062,0.039548,49,1062,0.046139,0.006591,0.0,0.01
scope-west-organic-v83-day015,15,west,organic,8.3,41,932,0.043991,47,932,0.050429,0.006438,0.0,0.01
scope-west-organic-v84-day015,15,west,organic,8.4,42,948,0.044304,47,948,0.049578,0.005274,0.0,0.01
scope-east-paid-v83-day016,16,east,paid,8.3,38,955,0.039791,44,955,0.046073,0.006283,0.0,0.004
scope-east-paid-v84-day016,16,east,paid,8.4,43,1072,0.040112,49,1072,0.045709,0.005597,0.0,0.004
scope-east-organic-v83-day016,16,east,organic,8.3,42,951,0.044164,48,951,0.050473,0.006309,0.0,0.004
scope-east-organic-v84-day016,16,east,organic,8.4,43,981,0.043833,49,981,0.049949,0.006116,0.0,0.004
scope-west-paid-v83-day016,16,west,paid,8.3,37,924,0.040043,43,924,0.046537,0.006494,0.0,0.004
scope-west-paid-v84-day016,16,west,paid,8.4,38,952,0.039916,44,952,0.046218,0.006303,0.0,0.004
scope-west-organic-v83-day016,16,west,organic,8.3,46,1047,0.043935,52,1047,0.049666,0.005731,0.0,0.004
scope-west-organic-v84-day016,16,west,organic,8.4,45,1018,0.044204,51,1018,0.050098,0.005894,0.0,0.004
scope-east-paid-v83-day017,17,east,paid,8.3,38,961,0.039542,44,961,0.045786,0.006243,0.0,0.006
scope-east-paid-v84-day017,17,east,paid,8.4,40,1006,0.039761,46,1006,0.045726,0.005964,0.0,0.006
scope-east-organic-v83-day017,17,east,organic,8.3,47,1069,0.043966,53,1069,0.049579,0.005613,0.0,0.006
scope-east-organic-v84-day017,17,east,organic,8.4,47,1070,0.043925,53,1070,0.049533,0.005607,0.0,0.006
scope-west-paid-v83-day017,17,west,paid,8.3,41,1019,0.040236,47,1019,0.046124,0.005888,0.0,0.006
scope-west-paid-v84-day017,17,west,paid,8.4,41,1023,0.040078,47,1023,0.045943,0.005865,0.0,0.006
scope-west-organic-v83-day017,17,west,organic,8.3,45,1028,0.043774,51,1028,0.049611,0.005837,0.0,0.006
scope-west-organic-v84-day017,17,west,organic,8.4,40,903,0.044297,45,903,0.049834,0.005537,0.0,0.006
scope-east-paid-v83-day018,18,east,paid,8.3,40,995,0.040201,46,995,0.046231,0.00603,0.0,0.008
scope-east-paid-v84-day018,18,east,paid,8.4,42,1057,0.039735,49,1057,0.046358,0.006623,0.0,0.008
scope-east-organic-v83-day018,18,east,organic,8.3,40,914,0.043764,46,914,0.050328,0.006565,0.0,0.008
scope-east-organic-v84-day018,18,east,organic,8.4,43,980,0.043878,49,980,0.05,0.006122,0.0,0.008
scope-west-paid-v83-day018,18,west,paid,8.3,36,901,0.039956,41,901,0.045505,0.005549,0.0,0.008
scope-west-paid-v84-day018,18,west,paid,8.4,39,966,0.040373,44,966,0.045549,0.005176,0.0,0.008
scope-west-organic-v83-day018,18,west,organic,8.3,40,920,0.043478,46,920,0.05,0.006522,0.0,0.008
scope-west-organic-v84-day018,18,west,organic,8.4,43,983,0.043744,49,983,0.049847,0.006104,0.0,0.008
scope-east-paid-v83-day019,19,east,paid,8.3,41,1024,0.040039,47,1024,0.045898,0.005859,0.0,0.01
scope-east-paid-v84-day019,19,east,paid,8.4,39,965,0.040415,44,965,0.045596,0.005181,0.0,0.01
scope-east-organic-v83-day019,19,east,organic,8.3,44,999,0.044044,50,999,0.05005,0.006006,0.0,0.01
scope-east-organic-v84-day019,19,east,organic,8.4,40,910,0.043956,45,910,0.049451,0.005495,0.0,0.01
scope-west-paid-v83-day019,19,west,paid,8.3,39,983,0.039674,45,983,0.045778,0.006104,0.0,0.01
scope-west-paid-v84-day019,19,west,paid,8.4,40,1012,0.039526,47,1012,0.046443,0.006917,0.0,0.01
scope-west-organic-v83-day019,19,west,organic,8.3,44,994,0.044266,50,994,0.050302,0.006036,0.0,0.01
scope-west-organic-v84-day019,19,west,organic,8.4,44,1011,0.043521,51,1011,0.050445,0.006924,0.0,0.01
scope-east-paid-v83-day020,20,east,paid,8.3,40,996,0.040161,46,996,0.046185,0.006024,0.0,0.004
scope-east-paid-v84-day020,20,east,paid,8.4,42,1058,0.039698,49,1058,0.046314,0.006616,0.0,0.004
scope-east-organic-v83-day020,20,east,organic,8.3,40,903,0.044297,45,903,0.049834,0.005537,0.0,0.004
scope-east-organic-v84-day020,20,east,organic,8.4,41,940,0.043617,47,940,0.05,0.006383,0.0,0.004
scope-west-paid-v83-day020,20,west,paid,8.3,42,1054,0.039848,48,1054,0.045541,0.005693,0.0,0.004
scope-west-paid-v84-day020,20,west,paid,8.4,37,931,0.039742,43,931,0.046187,0.006445,0.0,0.004
scope-west-organic-v83-day020,20,west,organic,8.3,46,1044,0.044061,52,1044,0.049808,0.005747,0.0,0.004
scope-west-organic-v84-day020,20,west,organic,8.4,41,922,0.044469,46,922,0.049892,0.005423,0.0,0.004
scope-east-paid-v83-day021,21,east,paid,8.3,37,920,0.040217,42,920,0.045652,0.005435,0.0,0.006
scope-east-paid-v84-day021,21,east,paid,8.4,43,1072,0.040112,49,1072,0.045709,0.005597,0.0,0.006
scope-east-organic-v83-day021,21,east,organic,8.3,44,1008,0.043651,50,1008,0.049603,0.005952,0.0,0.006
scope-east-organic-v84-day021,21,east,organic,8.4,41,935,0.04385,47,935,0.050267,0.006417,0.0,0.006
scope-west-paid-v83-day021,21,west,paid,8.3,37,913,0.040526,42,913,0.046002,0.005476,0.0,0.006
scope-west-paid-v84-day021,21,west,paid,8.4,41,1031,0.039767,47,1031,0.045587,0.00582,0.0,0.006
scope-west-organic-v83-day021,21,west,organic,8.3,42,959,0.043796,48,959,0.050052,0.006257,0.0,0.006
scope-west-organic-v84-day021,21,west,organic,8.4,43,980,0.043878,49,980,0.05,0.006122,0.0,0.006
scope-east-paid-v83-day022,22,east,paid,8.3,42,1049,0.040038,48,1049,0.045758,0.00572,0.0,0.008
scope-east-paid-v84-day022,22,east,paid,8.4,43,1066,0.040338,49,1066,0.045966,0.005629,0.0,0.008
scope-east-organic-v83-day022,22,east,organic,8.3,45,1034,0.04352,52,1034,0.05029,0.00677,0.0,0.008
scope-east-organic-v84-day022,22,east,organic,8.4,42,955,0.043979,48,955,0.050262,0.006283,0.0,0.008
scope-west-paid-v83-day022,22,west,paid,8.3,40,999,0.04004,46,999,0.046046,0.006006,0.0,0.008
scope-west-paid-v84-day022,22,west,paid,8.4,37,916,0.040393,42,916,0.045852,0.005459,0.0,0.008
scope-west-organic-v83-day022,22,west,organic,8.3,42,944,0.044492,47,944,0.049788,0.005297,0.0,0.008
scope-west-organic-v84-day022,22,west,organic,8.4,46,1037,0.044359,52,1037,0.050145,0.005786,0.0,0.008
scope-east-paid-v83-day023,23,east,paid,8.3,39,981,0.039755,45,981,0.045872,0.006116,0.0,0.01
scope-east-paid-v84-day023,23,east,paid,8.4,41,1015,0.040394,47,1015,0.046305,0.005911,0.0,0.01
scope-east-organic-v83-day023,23,east,organic,8.3,40,909,0.044004,45,909,0.049505,0.005501,0.0,0.01
scope-east-organic-v84-day023,23,east,organic,8.4,42,952,0.044118,48,952,0.05042,0.006303,0.0,0.01
scope-west-paid-v83-day023,23,west,paid,8.3,40,1005,0.039801,46,1005,0.045771,0.00597,0.0,0.01
scope-west-paid-v84-day023,23,west,paid,8.4,39,984,0.039634,45,984,0.045732,0.006098,0.0,0.01
scope-west-organic-v83-day023,23,west,organic,8.3,42,947,0.044351,47,947,0.04963,0.00528,0.0,0.01
scope-west-organic-v84-day023,23,west,organic,8.4,40,910,0.043956,45,910,0.049451,0.005495,0.0,0.01
scope-east-paid-v83-day024,24,east,paid,8.3,37,921,0.040174,42,921,0.045603,0.005429,0.0,0.004
scope-east-paid-v84-day024,24,east,paid,8.4,36,911,0.039517,42,911,0.046103,0.006586,0.0,0.004
scope-east-organic-v83-day024,24,east,organic,8.3,44,1001,0.043956,50,1001,0.04995,0.005994,0.0,0.004
scope-east-organic-v84-day024,24,east,organic,8.4,40,917,0.043621,46,917,0.050164,0.006543,0.0,0.004
scope-west-paid-v83-day024,24,west,paid,8.3,43,1066,0.040338,49,1066,0.045966,0.005629,0.0,0.004
scope-west-paid-v84-day024,24,west,paid,8.4,39,973,0.040082,45,973,0.046249,0.006166,0.0,0.004
scope-west-organic-v83-day024,24,west,organic,8.3,45,1029,0.043732,51,1029,0.049563,0.005831,0.0,0.004
